Production_ID,Product_ID,Date,Quantity,Cost
1,1057,2023-09-02 18:59:14.559608,84,14.71
2,1011,2024-01-02 18:59:14.559619,151,19.09
3,1002,2023-03-22 18:59:14.559623,60,23.67
4,1017,2023-04-01 18:59:14.559626,148,25.24
5,1039,2024-02-06 18:59:14.559629,159,23.85
6,1020,2023-09-04 18:59:14.559633,123,19.56
7,1014,2024-01-22 18:59:14.559636,58,30.39
8,1096,2023-11-20 18:59:14.559640,52,43.01
9,1098,2023-08-10 18:59:14.559644,134,21.19
10,1025,2023-12-04 18:59:14.559648,75,47.7
11,1007,2023-10-25 18:59:14.559651,121,44.93
12,1099,2023-12-08 18:59:14.559654,97,16.47
13,1093,2023-07-04 18:59:14.559658,166,41.45
14,1086,2023-05-10 18:59:14.559661,61,32.98
15,1041,2024-01-03 18:59:14.559664,182,32.66
16,1043,2023-07-16 18:59:14.559667,97,25.64
17,1013,2023-06-14 18:59:14.559670,86,30.05
18,1077,2023-10-28 18:59:14.559674,93,25.89
19,1001,2023-05-20 18:59:14.559677,64,31.59
20,1036,2023-03-23 18:59:14.559680,92,35.12
21,1068,2023-09-20 18:59:14.559683,136,36.97
22,1037,2023-05-28 18:59:14.559686,119,31.3
23,1040,2023-07-28 18:59:14.559689,95,38.86
24,1061,2023-11-24 18:59:14.559692,157,15.65
25,1059,2023-05-28 18:59:14.559694,172,18.48
26,1013,2024-01-29 18:59:14.559698,70,42.75
27,1088,2023-10-09 18:59:14.559701,156,22.9
28,1083,2023-08-28 18:59:14.559703,129,10.92
29,1001,2023-12-04 18:59:14.559706,96,16.15
30,1069,2024-01-16 18:59:14.559709,166,18.94
31,1016,2023-06-04 18:59:14.559712,173,48.29
32,1088,2023-11-08 18:59:14.559715,192,32.92
33,1027,2023-05-21 18:59:14.559718,74,47.31
34,1065,2024-01-26 18:59:14.559721,85,33.01
35,1034,2024-02-06 18:59:14.559724,100,29.17
36,1004,2023-10-11 18:59:14.559727,64,22.55
37,1064,2023-09-08 18:59:14.559730,117,34.25
38,1039,2023-09-19 18:59:14.559733,70,15.57
39,1075,2023-06-23 18:59:14.559736,190,45.93
40,1055,2024-01-05 18:59:14.559740,68,43.17
41,1035,2023-08-25 18:59:14.559743,83,22.7
42,1044,2023-04-02 18:59:14.559746,127,48.11
43,1022,2024-02-08 18:59:14.559749,174,43.01
44,1046,2023-12-24 18:59:14.559752,166,36.65
45,1030,2023-05-02 18:59:14.559755,101,14.87
46,1010,2023-11-03 18:59:14.559758,76,29.13
47,1009,2023-10-26 18:59:14.559761,84,30.24
