Product_ID,Name,Category,Launch_Date,Price,Designer
1000,Product 0,Accessories,2023-11-25 18:59:14.549918,99.68,Designer C
1001,Product 1,Sneakers,2023-08-11 18:59:14.549944,51.38,Designer B
1002,Product 2,Accessories,2023-10-08 18:59:14.549948,253.87,Designer C
1003,Product 3,Accessories,2023-06-28 18:59:14.549952,226.71,Designer C
1004,Product 4,Sneakers,2024-01-30 18:59:14.549955,232.25,Designer C
1005,Product 5,Sneakers,2023-06-15 18:59:14.549959,242.82,Designer D
1006,Product 6,Accessories,2023-03-18 18:59:14.549963,68.51,Designer D
1007,Product 7,Apparel,2024-02-27 18:59:14.549969,139.62,Designer C
1008,Product 8,Accessories,2023-05-01 18:59:14.549979,78.97,Designer D
1009,Product 9,Accessories,2024-01-30 18:59:14.549983,265.78,Designer A
1010,Product 10,Accessories,2023-08-14 18:59:14.549987,205.82,Designer A
1011,Product 11,Accessories,2024-01-11 18:59:14.549990,132.72,Designer D
1012,Product 12,Sneakers,2023-08-26 18:59:14.549993,65.89,Designer D
1013,Product 13,Accessories,2023-09-09 18:59:14.549996,127.75,Designer C
1014,Product 14,Apparel,2023-05-01 18:59:14.549999,131.3,Designer B
1015,Product 15,Sneakers,2023-03-06 18:59:14.550002,232.4,Designer D
1016,Product 16,Apparel,2023-05-25 18:59:14.550005,209.39,Designer A
1017,Product 17,Apparel,2024-02-19 18:59:14.550008,271.8,Designer C
1018,Product 18,Apparel,2023-08-29 18:59:14.550012,168.05,Designer D
1019,Product 19,Apparel,2023-09-27 18:59:14.550015,79.9,Designer A
1020,Product 20,Sneakers,2024-01-16 18:59:14.550017,228.31,Designer A
1021,Product 21,Sneakers,2023-06-29 18:59:14.550020,240.2,Designer B
1022,Product 22,Apparel,2024-02-23 18:59:14.550023,190.32,Designer C
1023,Product 23,Apparel,2023-12-15 18:59:14.550026,242.74,Designer C
1024,Product 24,Sneakers,2023-05-18 18:59:14.550029,173.45,Designer B
1025,Product 25,Sneakers,2024-01-24 18:59:14.550033,180.68,Designer B
1026,Product 26,Sneakers,2023-09-24 18:59:14.550036,156.89,Designer C
1027,Product 27,Accessories,2023-11-20 18:59:14.550038,56.35,Designer C
1028,Product 28,Accessories,2023-04-12 18:59:14.550041,76.97,Designer D
1029,Product 29,Accessories,2023-06-20 18:59:14.550044,57.86,Designer D
1030,Product 30,Apparel,2023-12-04 18:59:14.550047,209.1,Designer B
1031,Product 31,Accessories,2023-07-31 18:59:14.550050,128.59,Designer D
1032,Product 32,Apparel,2023-03-26 18:59:14.550054,177.14,Designer A
1033,Product 33,Apparel,2023-11-22 18:59:14.550057,276.89,Designer D
1034,Product 34,Accessories,2023-07-12 18:59:14.550060,112.32,Designer D
1035,Product 35,Apparel,2023-11-10 18:59:14.550063,152.6,Designer A
1036,Product 36,Accessories,2023-05-25 18:59:14.550066,238.89,Designer B
1037,Product 37,Accessories,2024-01-19 18:59:14.550069,107.2,Designer A
1038,Product 38,Sneakers,2023-04-03 18:59:14.550072,69.24,Designer D
1039,Product 39,Accessories,2023-06-23 18:59:14.550075,122.44,Designer B
1040,Product 40,Sneakers,2023-09-30 18:59:14.550078,90.31,Designer D
1041,Product 41,Accessories,2023-09-12 18:59:14.550081,282.42,Designer A
1042,Product 42,Accessories,2024-02-21 18:59:14.550084,252.03,Designer A
1043,Product 43,Sneakers,2023-08-05 18:59:14.550087,208.35,Designer D
1044,Product 44,Sneakers,2023-06-13 18:59:14.550090,267.87,Designer C
1045,Product 45,Accessories,2023-06-24 18:59:14.550093,250.92,Designer C
1046,Product 46,Apparel,2023-04-07 18:59:14.550096,96.64,Designer A
1047,Product 47,Sneakers,2023-05-14 18:59:14.550099,273.14,Designer A
1048,Product 48,Apparel,2023-11-10 18:59:14.550102,184.84,Designer C
1049,Product 49,Apparel,2023-04-24 18:59:14.550105,251.86,Designer C
1050,Product 50,Apparel,2024-02-20 18:59:14.550108,274.02,Designer D
1051,Product 51,Sneakers,2023-10-23 18:59:14.550111,129.5,Designer D
1052,Product 52,Apparel,2023-12-23 18:59:14.550114,77.51,Designer C
1053,Product 53,Sneakers,2023-04-10 18:59:14.550117,106.98,Designer D
1054,Product 54,Apparel,2024-01-13 18:59:14.550120,156.78,Designer D
1055,Product 55,Accessories,2024-02-28 18:59:14.550123,254.5,Designer B
1056,Product 56,Accessories,2023-09-26 18:59:14.550126,265.18,Designer D
1057,Product 57,Sneakers,2023-10-24 18:59:14.550130,51.74,Designer A
1058,Product 58,Accessories,2023-03-16 18:59:14.550133,177.69,Designer D
1059,Product 59,Accessories,2023-11-07 18:59:14.550136,154.35,Designer D
1060,Product 60,Apparel,2023-10-18 18:59:14.550139,105.53,Designer C
1061,Product 61,Sneakers,2023-09-28 18:59:14.550142,79.97,Designer A
1062,Product 62,Apparel,2023-06-27 18:59:14.550145,134.4,Designer D
1063,Product 63,Apparel,2023-03-17 18:59:14.550147,285.73,Designer D
1064,Product 64,Apparel,2024-02-25 18:59:14.550151,130.8,Designer B
1065,Product 65,Apparel,2024-01-24 18:59:14.550154,179.7,Designer D
1066,Product 66,Apparel,2024-01-01 18:59:14.550157,225.75,Designer D
1067,Product 67,Apparel,2023-10-15 18:59:14.550160,140.91,Designer B
1068,Product 68,Apparel,2023-09-15 18:59:14.550163,292.95,Designer C
1069,Product 69,Sneakers,2023-04-22 18:59:14.550166,290.61,Designer D
1070,Product 70,Accessories,2023-09-18 18:59:14.550169,112.95,Designer B
1071,Product 71,Apparel,2023-12-05 18:59:14.550171,174.31,Designer A
1072,Product 72,Apparel,2023-12-23 18:59:14.550174,125.22,Designer C
1073,Product 73,Apparel,2023-12-02 18:59:14.550177,121.21,Designer A
1074,Product 74,Apparel,2023-10-18 18:59:14.550180,59.22,Designer A
1075,Product 75,Apparel,2023-04-05 18:59:14.550183,202.39,Designer B
1076,Product 76,Apparel,2023-12-29 18:59:14.550186,175.67,Designer D
1077,Product 77,Accessories,2023-04-01 18:59:14.550189,62.87,Designer B
1078,Product 78,Accessories,2023-07-07 18:59:14.550192,119.66,Designer B
1079,Product 79,Apparel,2023-10-12 18:59:14.550195,277.07,Designer B
