Review_ID,Product_ID,Date,Rating,Review_Text,Sentiment
1,1031,2024-02-26 18:59:14.592883,3,This is a bad product.,Negative
2,1093,2023-03-12 18:59:14.592901,4,This is a terrible product.,Negative
3,1038,2023-05-10 18:59:14.592905,5,This is a great product.,Negative
4,1011,2023-03-10 18:59:14.592909,3,This is a bad product.,Positive
5,1046,2024-01-23 18:59:14.592912,1,This is a bad product.,Neutral
6,1017,2023-07-22 18:59:14.592915,4,This is a great product.,Neutral
7,1020,2023-09-15 18:59:14.592918,5,This is a good product.,Positive
8,1012,2023-04-19 18:59:14.592923,1,This is a great product.,Neutral
9,1020,2023-05-06 18:59:14.592927,1,This is a bad product.,Negative
10,1007,2023-07-15 18:59:14.592931,1,This is a mediocre product.,Neutral
11,1045,2023-11-22 18:59:14.592934,1,This is a terrible product.,Neutral
12,1006,2023-07-05 18:59:14.592937,3,This is a mediocre product.,Neutral
13,1022,2024-02-17 18:59:14.592941,3,This is a good product.,Negative
14,1095,2023-04-29 18:59:14.592944,3,This is a bad product.,Positive
15,1074,2023-11-18 18:59:14.592947,5,This is a good product.,Negative
16,1085,2023-08-18 18:59:14.592950,5,This is a bad product.,Positive
17,1021,2023-08-03 18:59:14.592953,5,This is a bad product.,Positive
18,1088,2023-10-05 18:59:14.592956,2,This is a bad product.,Positive
19,1021,2023-10-09 18:59:14.592959,5,This is a mediocre product.,Neutral
20,1091,2023-11-23 18:59:14.592962,3,This is a great product.,Neutral
21,1028,2023-06-13 18:59:14.592965,3,This is a terrible product.,Positive
22,1012,2024-01-03 18:59:14.592968,2,This is a good product.,Positive
23,1081,2023-07-10 18:59:14.592971,2,This is a good product.,Neutral
24,1001,2024-01-24 18:59:14.592974,5,This is a good product.,Negative
25,1028,2023-03-10 18:59:14.592977,4,This is a bad product.,Positive
26,1084,2023-04-10 18:59:14.592980,2,This is a great product.,Negative
27,1078,2023-08-24 18:59:14.592983,1,This is a good product.,Neutral
28,1051,2023-05-18 18:59:14.592986,3,This is a mediocre product.,Positive
29,1026,2023-04-30 18:59:14.592989,1,This is a great product.,Negative
30,1049,2023-04-12 18:59:14.592992,3,This is a great product.,Negative
31,1094,2023-08-27 18:59:14.592995,3,This is a mediocre product.,Negative
32,1078,2023-12-19 18:59:14.592998,2,This is a terrible product.,Neutral
33,1022,2023-09-23 18:59:14.593001,2,This is a bad product.,Neutral
34,1087,2024-01-20 18:59:14.593004,1,This is a good product.,Negative
35,1043,2023-05-30 18:59:14.593007,3,This is a mediocre product.,Negative
36,1076,2023-07-10 18:59:14.593010,1,This is a mediocre product.,Neutral
37,1021,2023-08-09 18:59:14.593013,4,This is a good product.,Negative
38,1042,2023-03-06 18:59:14.593016,1,This is a terrible product.,Negative
39,1036,2023-07-05 18:59:14.593020,5,This is a good product.,Neutral
40,1060,2024-01-15 18:59:14.593023,1,This is a bad product.,Negative
41,1096,2023-04-05 18:59:14.593026,5,This is a terrible product.,Negative
42,1055,2023-07-12 18:59:14.593029,5,This is a great product.,Negative
43,1002,2023-09-24 18:59:14.593032,5,This is a bad product.,Neutral
44,1062,2023-04-22 18:59:14.593035,4,This is a mediocre product.,Negative
45,1018,2023-10-10 18:59:14.593038,1,This is a mediocre product.,Neutral
46,1022,2023-06-16 18:59:14.593041,1,This is a bad product.,Neutral
47,1028,2023-10-30 18:59:14.593044,4,This is a great product.,Positive
48,1029,2024-02-26 18:59:14.593047,3,This is a mediocre product.,Positive
49,1038,2024-02-02 18:59:14.593050,2,This is a bad product.,Negative
50,1024,2024-02-18 18:59:14.593052,1,This is a terrible product.,Neutral
51,1007,2023-04-17 18:59:14.593055,2,This is a great product.,Positive
52,1057,2023-11-22 18:59:14.593058,4,This is a great product.,Negative
