Sale_ID,Product_ID,Date,Quantity,Store_Location
1,1032,2023-09-06 18:59:14.552686,8,Los Angeles
2,1047,2024-01-21 18:59:14.552698,7,Miami
3,1075,2024-02-15 18:59:14.552702,2,New York
4,1058,2023-03-11 18:59:14.552705,6,Los Angeles
5,1085,2023-04-28 18:59:14.552709,6,Houston
6,1021,2023-12-22 18:59:14.552712,3,Houston
7,1029,2023-06-01 18:59:14.552715,2,Chicago
8,1037,2023-08-22 18:59:14.552720,1,Chicago
9,1050,2023-04-28 18:59:14.552724,6,Houston
10,1053,2023-07-17 18:59:14.552729,5,Chicago
11,1007,2023-08-12 18:59:14.552732,9,New York
12,1026,2023-10-04 18:59:14.552735,1,Chicago
13,1026,2023-06-30 18:59:14.552738,7,Miami
14,1097,2023-11-23 18:59:14.552741,5,Chicago
15,1020,2024-02-15 18:59:14.552744,5,Los Angeles
16,1029,2023-08-27 18:59:14.552747,2,New York
17,1096,2023-07-14 18:59:14.552750,3,Los Angeles
18,1027,2023-03-30 18:59:14.552754,7,Los Angeles
19,1063,2023-05-01 18:59:14.552757,6,Miami
20,1096,2023-11-09 18:59:14.552760,2,New York
21,1068,2023-06-06 18:59:14.552763,6,New York
22,1060,2023-04-14 18:59:14.552766,2,New York
23,1047,2023-08-13 18:59:14.552769,2,New York
24,1018,2023-04-26 18:59:14.552772,2,New York
25,1003,2023-12-05 18:59:14.552775,3,Miami
26,1034,2023-08-04 18:59:14.552778,2,Chicago
27,1063,2023-04-27 18:59:14.552781,4,Los Angeles
28,1048,2023-12-30 18:59:14.552784,9,New York
29,1016,2023-09-13 18:59:14.552787,6,Chicago
30,1043,2023-05-27 18:59:14.552790,1,Chicago
31,1091,2024-01-21 18:59:14.552793,8,Los Angeles
32,1029,2023-12-14 18:59:14.552796,7,Miami
33,1092,2023-10-29 18:59:14.552798,3,Houston
34,1045,2023-08-26 18:59:14.552802,1,Houston
35,1005,2023-08-04 18:59:14.552805,5,Chicago
36,1098,2023-07-27 18:59:14.552807,4,Los Angeles
37,1036,2023-08-22 18:59:14.552810,8,Houston
38,1023,2024-02-21 18:59:14.552813,1,Chicago
39,1092,2023-06-18 18:59:14.552816,1,Miami
40,1045,2023-08-14 18:59:14.552819,4,Houston
41,1052,2023-08-24 18:59:14.552822,8,Chicago
42,1094,2024-02-09 18:59:14.552825,5,Chicago
43,1098,2023-12-02 18:59:14.552828,2,New York
44,1059,2023-12-31 18:59:14.552831,6,Miami
45,1096,2023-11-04 18:59:14.552834,5,New York
46,1062,2024-01-10 18:59:14.552837,2,Los Angeles
47,1084,2023-07-04 18:59:14.552840,3,New York
48,1031,2023-12-19 18:59:14.552843,9,New York
49,1086,2024-02-27 18:59:14.552846,7,Houston
50,1032,2023-03-09 18:59:14.552848,7,Chicago
51,1066,2023-05-19 18:59:14.552851,6,Miami
52,1017,2023-11-19 18:59:14.552854,8,New York
53,1024,2024-01-29 18:59:14.552857,4,Miami
54,1094,2023-05-17 18:59:14.552861,8,New York
55,1053,2023-08-14 18:59:14.552864,4,Los Angeles
56,1057,2023-04-26 18:59:14.552866,8,New York
57,1066,2023-05-05 18:59:14.552869,9,Houston
58,1045,2023-10-27 18:59:14.552873,3,Chicago
59,1023,2023-08-27 18:59:14.552876,3,Los Angeles
60,1031,2023-06-22 18:59:14.552879,2,New York
61,1046,2023-10-29 18:59:14.552881,3,Miami
62,1085,2024-02-16 18:59:14.552884,3,Los Angeles
63,1022,2023-12-25 18:59:14.552887,5,Los Angeles
64,1065,2023-06-07 18:59:14.552890,5,New York
65,1026,2023-04-29 18:59:14.552893,2,Los Angeles
66,1001,2023-12-11 18:59:14.552896,6,Miami
67,1089,2023-03-16 18:59:14.552899,5,Los Angeles
68,1016,2023-05-01 18:59:14.552902,6,Miami
69,1032,2023-06-30 18:59:14.552905,1,New York
70,1008,2023-07-01 18:59:14.552908,5,Chicago
71,1042,2023-10-10 18:59:14.552911,9,Los Angeles
72,1047,2023-12-05 18:59:14.552914,2,Chicago
73,1038,2023-08-15 18:59:14.552917,1,Miami
74,1092,2023-05-11 18:59:14.552920,9,Los Angeles
75,1041,2023-10-10 18:59:14.552924,9,Houston
76,1025,2023-10-31 18:59:14.552927,9,Chicago
77,1098,2023-09-05 18:59:14.552930,6,Los Angeles
78,1049,2023-06-16 18:59:14.552933,8,Chicago
79,1024,2023-07-10 18:59:14.552936,1,Los Angeles
80,1023,2023-03-27 18:59:14.552939,4,New York
81,1012,2023-09-10 18:59:14.552942,1,Chicago
82,1059,2023-12-10 18:59:14.552945,8,Houston
83,1006,2024-02-18 18:59:14.552948,1,Houston
84,1056,2023-04-19 18:59:14.552951,3,Miami
85,1035,2024-01-23 18:59:14.552954,4,Los Angeles
86,1044,2023-06-14 18:59:14.552956,8,Chicago
87,1019,2024-02-25 18:59:14.552959,6,Miami
88,1064,2023-07-27 18:59:14.552962,7,Chicago
89,1007,2024-02-10 18:59:14.552965,8,Los Angeles
90,1015,2023-03-23 18:59:14.552968,2,Houston
91,1013,2023-11-13 18:59:14.552971,8,New York
92,1075,2023-09-22 18:59:14.552974,3,Houston
93,1086,2023-09-22 18:59:14.552977,7,Miami
94,1014,2023-04-02 18:59:14.552980,3,New York
95,1091,2023-12-28 18:59:14.552983,7,Miami
96,1097,2023-08-30 18:59:14.552986,2,Los Angeles
97,1065,2024-01-11 18:59:14.552989,6,New York
98,1031,2023-10-21 18:59:14.552992,3,Miami
99,1086,2023-10-31 18:59:14.552995,3,Los Angeles
100,1062,2023-10-28 18:59:14.552997,9,Houston
101,1085,2023-06-23 18:59:14.553000,7,Los Angeles
102,1050,2024-02-12 18:59:14.553003,5,Chicago
103,1024,2023-12-14 18:59:14.553006,7,Los Angeles
104,1057,2024-02-09 18:59:14.553009,9,Los Angeles
105,1062,2023-12-28 18:59:14.553012,1,Chicago
106,1061,2023-06-04 18:59:14.553015,7,Miami
107,1021,2023-06-27 18:59:14.553018,6,Miami
108,1057,2023-11-20 18:59:14.553021,9,Los Angeles
109,1057,2023-06-17 18:59:14.553023,1,Chicago
110,1085,2024-01-14 18:59:14.553027,4,Chicago
111,1048,2023-08-18 18:59:14.553030,9,Houston
112,1051,2023-04-22 18:59:14.553033,4,Miami
113,1041,2023-04-25 18:59:14.553036,3,New York
114,1069,2023-08-28 18:59:14.553039,9,Miami
115,1014,2024-02-01 18:59:14.553042,2,Miami
116,1053,2023-06-06 18:59:14.553045,4,Houston
117,1059,2023-06-02 18:59:14.553048,6,New York
118,1096,2024-02-17 18:59:14.553051,2,Houston
119,1007,2023-05-27 18:59:14.553054,8,New York
120,1052,2024-01-30 18:59:14.553057,8,Los Angeles
121,1059,2023-09-16 18:59:14.553060,1,New York
122,1004,2023-04-08 18:59:14.553063,3,Houston
123,1067,2024-01-22 18:59:14.553067,9,Miami
124,1005,2023-05-14 18:59:14.553070,5,New York
125,1095,2023-05-21 18:59:14.553073,6,New York
126,1093,2023-09-27 18:59:14.553076,4,Chicago
127,1046,2023-08-11 18:59:14.553079,2,Miami
